日期,備轉容量(MW)
2019-01-01,2557
2019-01-02,1899
2019-01-03,1891
2019-01-04,1811
2019-01-05,1902
2019-01-06,2332
2019-01-07,1799
2019-01-08,1843
2019-01-09,1953
2019-01-10,1847
2019-01-11,1883
2019-01-12,2496
2019-01-13,2397
2019-01-14,1745
2019-01-15,1844
2019-01-16,1848
2019-01-17,1932
2019-01-18,1935
2019-01-19,1953
2019-01-20,2598
2019-01-21,1914
2019-01-22,1921
2019-01-23,1938
2019-01-24,1872
2019-01-25,1905
2019-01-26,2534
2019-01-27,2091
2019-01-28,1805
2019-01-29,1832
2019-01-30,1809
2019-01-31,1889
2019-02-01,2148
2019-02-02,2240
2019-02-03,2038
2019-02-04,2562
2019-02-05,2333
2019-02-06,2322
2019-02-07,2107
2019-02-08,3114
2019-02-09,3135
2019-02-10,3023
2019-02-11,2275
2019-02-12,1860
2019-02-13,1914
2019-02-14,1943
2019-02-15,1959
2019-02-16,2426
2019-02-17,2673
2019-02-18,1761
2019-02-19,1891
2019-02-20,1838
2019-02-21,1812
2019-02-22,1870
2019-02-23,1728
2019-02-24,1770
2019-02-25,1753
2019-02-26,1817
2019-02-27,1902
2019-02-28,2430
2019-03-01,2371
2019-03-02,1832
2019-03-03,2224
2019-03-04,1894
2019-03-05,1953
2019-03-06,1922
2019-03-07,1867
2019-03-08,1816
2019-03-09,2191
2019-03-10,1823
2019-03-11,1793
2019-03-12,1879
2019-03-13,1922
2019-03-14,1779
2019-03-15,1928
2019-03-16,2518
2019-03-17,2290
2019-03-18,1755
2019-03-19,1804
2019-03-20,1843
2019-03-21,1967
2019-03-22,2341
2019-03-23,2084
2019-03-24,1859
2019-03-25,1852
2019-03-26,1886
2019-03-27,1933
2019-03-28,1892
2019-03-29,2054
2019-03-30,2155
2019-03-31,2297
2019-04-01,1930
2019-04-02,1915
2019-04-03,1904
2019-04-04,2339
2019-04-05,1872
2019-04-06,1683
2019-04-07,1778
2019-04-08,1969
2019-04-09,1963
2019-04-10,2153
2019-04-11,2078
2019-04-12,2017
2019-04-13,1760
2019-04-14,2527
2019-04-15,1986
2019-04-16,1877
2019-04-17,2049
2019-04-18,2003
2019-04-19,1920
2019-04-20,1877
2019-04-21,2298
2019-04-22,1993
2019-04-23,2026
2019-04-24,2003
2019-04-25,2289
2019-04-26,2252
2019-04-27,1993
2019-04-28,1740
2019-04-29,2211
2019-04-30,2210
2019-05-01,3093
2019-05-02,2682
2019-05-03,3316
2019-05-04,3119
2019-05-05,2255
2019-05-06,2404
2019-05-07,2609
2019-05-08,2139
2019-05-09,2212
2019-05-10,2608
2019-05-11,2837
2019-05-12,2708
2019-05-13,2311
2019-05-14,2130
2019-05-15,2253
2019-05-16,2431
2019-05-17,2546
2019-05-18,2591
2019-05-19,2126
2019-05-20,3347
2019-05-21,3887
2019-05-22,4554
2019-05-23,4711
2019-05-24,3574
2019-05-25,3984
2019-05-26,3788
2019-05-27,2705
2019-05-28,3169
2019-05-29,5904
2019-05-30,4367
2019-05-31,4514
2019-06-01,4042
2019-06-02,3632
2019-06-03,4540
2019-06-04,4546
2019-06-05,4029
2019-06-06,3784
2019-06-07,4702
2019-06-08,3309
2019-06-09,4082
2019-06-10,4147
2019-06-11,4215
2019-06-12,5418
2019-06-13,3593
2019-06-14,4895
2019-06-15,5435
2019-06-16,4962
2019-06-17,3764
2019-06-18,3256
2019-06-19,3657
2019-06-20,3702
2019-06-21,4080
2019-06-22,4189
2019-06-23,4743
2019-06-24,5416
2019-06-25,3514
2019-06-26,4112
2019-06-27,4175
2019-06-28,3567
2019-06-29,3601
2019-06-30,3438
2019-07-01,3634
2019-07-02,4883
2019-07-03,4752
2019-07-04,4894
2019-07-05,5713
2019-07-06,4435
2019-07-07,4313
2019-07-08,4454
2019-07-09,4166
2019-07-10,3896
2019-07-11,4154
2019-07-12,4332
2019-07-13,5138
2019-07-14,3257
2019-07-15,3636
2019-07-16,3223
2019-07-17,3769
2019-07-18,4079
2019-07-19,4510
2019-07-20,6218
2019-07-21,5389
2019-07-22,5758
2019-07-23,4766
2019-07-24,5037
2019-07-25,4636
2019-07-26,3897
2019-07-27,5346
2019-07-28,5713
2019-07-29,4923
2019-07-30,4066
2019-07-31,3728
2019-08-01,4042
2019-08-02,5035
2019-08-03,5874
2019-08-04,3817
2019-08-05,3927
2019-08-06,4771
2019-08-07,4718
2019-08-08,4316
2019-08-09,6977
2019-08-10,4570
2019-08-11,4187
2019-08-12,5793
2019-08-13,4752
2019-08-14,4064
2019-08-15,6354
2019-08-16,6048
2019-08-17,6654
2019-08-18,6143
2019-08-19,6376
2019-08-20,6269
2019-08-21,6430
2019-08-22,4824
2019-08-23,4868
2019-08-24,6972
2019-08-25,5461
2019-08-26,5353
2019-08-27,4692
2019-08-28,4093
2019-08-29,4056
2019-08-30,5615
2019-08-31,4767
